date,dow,hour,trips,speed_mean,revenue_per_mile,z_trips,z_speed,z_rev_mile,anomaly_type
2019-01-01,1,0,12907,11.687741889305007,5.496470110563802,6.73301344544548,-3.8255674924600207,1.7055976661681844,"High Demand, Traffic Jam"
2019-01-01,1,1,14876,12.111839950017425,5.314271644913023,7.06386260546612,-3.5701452051984894,0.837677091690965,"High Demand, Traffic Jam"
2019-01-01,1,2,12731,13.208679954516985,5.106373494228261,7.101079904713851,-3.0505081059582926,-0.029483215723891797,"High Demand, Traffic Jam"
2019-01-01,1,3,10064,14.288056580804351,4.88925215563802,7.112523726464967,-3.3638719950495237,-0.2845333724576025,"High Demand, Traffic Jam"
2019-01-01,1,4,6589,16.069994018409137,4.6116977366831415,7.082299475353109,-4.108076927542256,-0.6643194317423162,"High Demand, Traffic Jam"
2019-01-01,1,5,3270,18.317072370822117,4.317675061148725,3.3900619625780557,-0.8699369192060764,-3.07619508980924,High Demand
2019-01-01,1,6,2605,20.03647080749639,4.21289621470898,-3.1574346698329925,4.664659143826859,-4.1346913312058415,Low Demand
2019-01-01,1,7,2832,20.210234355951155,4.192199602851255,-3.451577840685142,5.228169960535842,-4.275958507119434,Low Demand
2019-01-01,1,8,2794,20.445833486489335,4.112862732039079,-3.908661017361216,5.816088395919343,-4.77064027249836,Low Demand
2019-01-01,1,9,3749,19.36714052436183,4.269457354275901,-4.273072403984426,5.93529505975302,-4.808692553742309,Low Demand
2019-01-01,1,10,5055,18.1875741720314,4.384233009708738,-4.375659835397595,6.021088580816089,-4.700217726334231,Low Demand
2019-01-01,1,11,6974,16.459698958161503,4.61398914387077,-3.847445567011504,5.8232244935265705,-4.465493052964296,Low Demand
2019-01-01,1,12,8350,16.14049848473341,4.627418318795156,-3.1795688178645216,5.55451072792234,-4.179248616824053,Low Demand
2019-01-01,1,13,8871,15.368870505202086,4.624992579807029,-3.1493723819337887,5.0955563657560505,-3.9132187899516704,Low Demand
2019-01-01,1,18,9408,13.539288078299396,4.989577372057779,-3.132093038536786,3.60016981913768,-4.1057870836690675,Low Demand
2019-01-01,1,19,8128,14.47527273731284,4.725730853081674,-3.345965863694613,3.5488450816148194,-4.366300827359479,Low Demand
2019-01-01,1,20,7281,15.468711370581593,4.645710875984694,-3.386183429160711,3.8037596493240944,-3.994610064236288,Low Demand
2019-01-01,1,21,6874,16.236869236180052,4.544913563165798,-3.5014499797300256,4.334115827463104,-4.08329951710013,Low Demand
2019-01-01,1,22,5730,17.39299426507257,4.471573553025561,-3.1950645236092394,4.926639250402446,-4.180013733500692,Low Demand
2019-01-01,1,23,4108,19.041778176040506,4.2394409163332645,-3.257732275782041,5.240582161963284,-4.248145011550743,Low Demand
2019-01-02,2,0,2751,19.44469244023739,4.258563144698327,-3.409771885547313,3.6675406985722043,-3.5753118792173835,Low Demand
2019-01-02,2,1,1490,19.759550634060297,4.212178800198429,-3.2656814523776174,2.7119735303504586,-3.1365937450628385,Low Demand
2019-01-02,2,2,854,17.891441763048125,4.64771651853225,-3.612358478629608,0.9240194701030588,-2.1257747016243145,Low Demand
2019-01-02,2,3,695,19.325299851396903,4.289229223344772,-3.13300706048242,2.4588664488107477,-3.0856113594415224,Low Demand
2019-01-21,0,0,5426,16.459119573824125,4.804989382794388,3.0395366344200476,-1.6447682446727776,-0.03885242537868827,High Demand
2019-02-03,6,22,13434,14.699920340079276,5.677613862726005,4.970687358171739,-0.5065867855151335,1.1404338397814353,High Demand
2019-03-02,5,3,5237,12.197591689904018,5.912733619151482,0.9651426679182633,-4.144221828155094,0.8685097888919241,Traffic Jam
2019-03-02,5,4,3330,13.803062713560037,5.20993516654177,1.2086976545406685,-4.4019707158539,0.3525187222692215,Traffic Jam
2019-03-02,5,5,1806,16.18666642177936,4.744456858570314,1.0358153838491109,-4.271350354502788,0.35915629877053445,Traffic Jam
2019-03-02,5,6,2780,16.675304983880512,4.917128749169397,1.0454629273505895,-3.4741965799696746,0.7017437605870213,Traffic Jam
2019-03-10,6,3,10478,13.80072824487455,5.969819785276074,4.175965994843105,-2.069001535726594,1.088642334479979,High Demand
2019-03-10,6,4,6735,14.90654260804248,5.502042499949618,4.821038067738731,-3.111025211670599,1.5942816905637078,"High Demand, Traffic Jam"
2019-03-10,6,5,2642,17.121497410251095,4.98105470359186,3.563640233531735,-3.697442110174883,2.334564466119612,"High Demand, Traffic Jam"
2019-03-15,4,21,21157,9.97743622668083,6.902865761971903,3.342711040755852,-2.1866654762817066,1.8895516902205198,High Demand
2019-03-17,6,6,2998,20.94651542379106,4.5347163265884705,3.655774621201648,-0.5223415703188143,-0.3807801948825872,High Demand
2019-04-15,0,5,2584,16.87525676048571,5.413253346427275,1.105697779481583,-2.524697414776296,3.71715169699066,High Price
2019-04-15,0,11,13953,8.066110792963217,7.481209068068544,3.2667661896617677,-1.498317904581099,1.965357684732544,High Demand
2019-05-05,6,19,13534,11.568255675432102,6.13257200869308,3.072565375843162,-0.8983367210182925,0.9628024457690372,High Demand
2019-05-27,0,6,1703,22.76017934309477,4.472729360548421,-3.046365701871716,4.047024477184419,-2.9257915167388706,Low Demand
2019-05-27,0,8,3147,19.002855031609883,4.951801765570912,-3.129172305816495,3.847725305158685,-2.9941248609029616,Low Demand
2019-05-27,0,9,4677,17.66831749588132,5.197333957766136,-3.35712438088845,3.9656519017155514,-2.9302312777113966,Low Demand
2019-05-27,0,10,6093,16.873079459089162,5.224872684463774,-3.348148424363092,4.223393482894053,-2.831148800812848,Low Demand
2019-06-30,6,23,6312,13.677963157133458,5.500796097979029,1.2520562614870037,-3.077174513826661,2.037600996470788,Traffic Jam
2019-07-01,0,1,3549,15.323637151202773,5.379831981670727,3.085544523041041,-1.97101391176513,1.5983191037514992,High Demand
2019-07-01,0,2,2360,16.206782663677735,5.332875384717656,3.0687644288964417,-1.2562891220033252,0.9060692911033553,High Demand
2019-07-01,0,4,1698,19.25386861453812,4.893142339568639,3.4750958672081143,-2.34735545774334,1.3893593424253823,High Demand
2019-07-04,3,2,2981,16.24882854330469,5.499052666735337,3.003631322158479,-0.6200520905177431,0.5242012486748898,High Demand
2019-07-04,3,3,1992,16.691397940185407,5.458158401800207,3.211513646582499,-1.2260336645191885,1.0817671546916776,High Demand
2019-07-04,3,5,1091,23.05082362232365,4.496934070068626,-3.476702323518317,4.419843731365749,-2.4092008866186228,Low Demand
2019-07-04,3,6,1879,21.31135853820538,4.722086024880285,-3.550421445367244,5.093851451365944,-2.59712684867079,Low Demand
2019-07-04,3,7,2493,19.73315972791881,4.977593415269651,-3.4000300395855336,4.918044262925052,-3.0263214785281813,Low Demand
2019-07-04,3,8,3216,17.890184353032936,5.3426034753533616,-3.6463306760778385,4.850012547678916,-3.1483418043413027,Low Demand
2019-07-04,3,9,4296,16.670363580574836,5.447716473842931,-3.7897761069109297,4.5915905075346,-3.1767645681636325,Low Demand
2019-07-04,3,10,5052,15.818798302117132,5.541121106479212,-3.842346898441964,4.590872769066811,-2.9215659691041456,Low Demand
2019-07-04,3,11,5775,15.375969311129118,5.596248465023451,-3.9664757363868675,4.960485667308547,-2.876361976073956,Low Demand
2019-07-04,3,12,6567,14.942455635580872,5.6997787300051606,-3.971312588425026,5.071598170524962,-2.639136012882654,Low Demand
2019-07-04,3,13,7100,14.98438057570303,5.543897907384216,-4.051457929224431,4.981094331283546,-2.397629482538456,Low Demand
2019-07-04,3,14,6986,14.497099798172252,5.566746591679429,-3.975920073478374,4.697638305121775,-2.3614524966883708,Low Demand
2019-07-04,3,15,6979,14.298153559085668,5.592955051255832,-3.894451444753243,4.404371315391943,-2.3231278692496957,Low Demand
2019-07-04,3,16,6925,14.315153130895682,5.562462303111283,-3.6560376152437954,4.264274679426507,-2.7817375564531965,Low Demand
2019-07-04,3,17,6823,14.65538232921364,5.464707251586543,-3.588162168070793,4.452169396008723,-3.1985573218949575,Low Demand
2019-07-04,3,18,6794,14.266035601386424,5.660610713146101,-3.6916271356463324,4.104396230842952,-2.9300379477920746,Low Demand
2019-07-04,3,19,6254,14.361584244959886,5.596192653240105,-3.8029419319912225,3.677445357035185,-2.6411561939194312,Low Demand
2019-07-04,3,20,6262,13.899403941802458,5.837384766637542,-3.6310813120681456,2.628122047826264,-1.171671545455654,Low Demand
2019-07-04,3,21,6432,13.833164201962814,5.795293534755594,-3.52670800365154,2.366540572250455,-1.043276709461775,Low Demand
2019-07-05,4,8,4606,14.817707539960796,5.596329085662063,-3.0192020341717534,3.49274335111285,-2.520928169633371,Low Demand
2019-07-05,4,9,5499,14.184062804895431,5.806172485740726,-3.366312075096603,3.9370273993280236,-2.6306300235058413,Low Demand
2019-07-05,4,10,6368,13.621248325946278,5.73399373543798,-3.420957004727059,3.964447512167636,-2.479548755454171,Low Demand
2019-07-05,4,11,7001,12.763707568219433,5.9059349227972815,-3.2255132181572894,3.9657984931529375,-2.2093299089431766,Low Demand
2019-07-05,4,12,7929,12.651126888467187,5.938788446190022,-3.17730862678271,3.7616937054080806,-1.8727271270712595,Low Demand
2019-07-05,4,13,8173,12.748629244447246,5.809716588111626,-3.2678966935478484,3.556417177190777,-1.5606940806256409,Low Demand
2019-07-06,5,1,3834,15.21081527506844,5.723511367396945,-3.320569054878779,2.1691616007176657,-0.6583434955455909,Low Demand
2019-07-06,5,2,3095,15.806555007844873,5.538205375502701,-3.257202184867606,2.4674876015761,-1.3279113773311488,Low Demand
2019-07-06,5,3,2354,16.344658210175023,5.45512299484051,-3.1903565768513817,1.6538624056419915,-0.8336538503859264,Low Demand
2019-07-17,2,21,14303,10.090525926629049,6.832478545494344,-0.16013445895536904,-3.3618632635350867,2.226796696754768,Traffic Jam
2019-07-17,2,22,12836,10.536754528573146,6.717949427906516,-0.2015469980161098,-3.4790422815132693,2.370956414150391,Traffic Jam
2019-09-02,0,2,2369,16.124215583032505,5.748261319111885,3.093791993247542,-1.3089880191452152,2.1333052721213126,High Demand
2019-09-02,0,3,1719,17.17457462182755,5.254461405113882,3.2968229993001907,-1.5368840353485596,1.3049085980258368,High Demand
2019-09-02,0,5,1034,23.59648142517718,4.5548188522442254,-3.137873527894997,3.301098405308411,-1.4612683349104376,Low Demand
2019-09-02,0,6,1691,23.67652354099066,4.554906695855949,-3.0561802574540686,4.581698987407967,-2.6168640027178824,Low Demand
2019-09-02,0,8,2950,20.209959280561545,4.83046799274334,-3.205434388229799,4.395723268657773,-3.223568448862998,Low Demand
2019-09-02,0,9,4160,18.215027990017123,5.098467666995715,-3.6444772287119784,4.251192972711349,-3.117298559537596,Low Demand
2019-09-02,0,13,7152,14.676701667602757,5.383726262685534,-3.5918713303447305,3.404927708662831,-2.1240985877624188,Low Demand
2019-09-02,0,15,8213,12.822657841301094,5.586005774251909,-3.0505766242548855,2.4308611308128465,-1.6726242565413965,Low Demand
2019-09-02,0,16,7852,13.837771870717528,5.47777970261491,-3.4379085531310336,2.893400693666895,-2.2578494733523917,Low Demand
2019-09-02,0,17,8270,14.09761729012363,5.5576226402803615,-3.2078878381459894,3.102751314630145,-2.178855286207641,Low Demand
2019-09-02,0,18,8538,14.471688773440649,5.341481083742601,-3.098089221553371,3.224858617863405,-2.6396208326913913,Low Demand
2019-11-01,4,0,10663,12.26457941111159,6.138387046652289,2.0755327635214837,-3.440640319167619,2.0969029957725454,Traffic Jam
2019-11-01,4,1,8633,13.157390064500852,6.000533421139282,3.805281984112694,-2.727875891078075,1.5892206867154264,High Demand
2019-11-01,4,2,6369,13.976963582646896,5.785312046359338,5.0888455862119075,-2.53462789002812,0.9326365748665172,High Demand
2019-11-01,4,3,4333,14.601928485321377,5.649453754955718,5.542117078570719,-3.90534076238158,1.3536084876815246,"High Demand, Traffic Jam"
2019-11-01,4,4,3124,16.996928757453116,5.1104400331880395,4.762784560555986,-4.056037758015703,1.3648916511149038,"High Demand, Traffic Jam"
2019-11-03,6,1,16948,12.18273908885241,6.689590852212779,3.52009098273631,-1.516625065290667,1.9539387233564398,High Demand
2019-11-03,6,5,2583,18.84117754798732,5.052372073024662,3.358709712332969,-2.1120542372831226,2.765544260636691,High Demand
2019-11-27,2,4,1424,21.09186662797176,4.792392143195001,3.2293321500112286,1.4773372944460315,0.19370635058076904,High Demand
2019-11-28,3,2,3130,15.819417124266076,5.535117706471914,3.3987909418770177,-0.9781137240167874,0.6263337837481184,High Demand
2019-11-28,3,3,2181,17.206078932781555,5.193940335240917,3.997850030613312,-0.5839449714602067,0.13312581297935427,High Demand
2019-11-28,3,4,1800,18.96737827933412,4.989130956173289,3.3185781850790494,-1.898176748277974,0.9588561595098257,High Demand
2019-11-28,3,6,2339,18.06395981111097,5.110387529868635,-3.1519581266420076,2.3867004201957194,-1.0951472276938996,Low Demand
2019-11-28,3,7,3317,16.740025873911456,5.47162122595773,-3.063836362323921,3.0694012941287787,-1.7933307604588162,Low Demand
2019-11-28,3,8,4120,15.390274454388786,5.786073958408345,-3.311942495825346,3.396306286348223,-2.2871502131913695,Low Demand
2019-11-28,3,9,4851,15.37972708570724,5.825626802388752,-3.527797466936968,3.818318448479318,-2.5000520032699747,Low Demand
2019-11-28,3,10,5733,14.470965794309484,5.949219948353093,-3.442888291979628,3.674564618170233,-2.1110022137271924,Low Demand
2019-11-28,3,11,7080,12.978790821792032,6.1154482796959355,-3.109589694520024,3.144253319752427,-1.8740989114317592,Low Demand
2019-11-28,3,12,7559,12.21119031073439,6.274550541962915,-3.2926032780758367,2.7657305835550665,-1.4277484158141331,Low Demand
2019-11-28,3,13,8281,12.5929133438318,5.881400593610508,-3.1517264861228784,2.9053523763910913,-1.6407422686068882,Low Demand
2019-11-28,3,14,8350,12.516781189983556,6.0194996361553805,-3.1293686433023296,3.013127885131244,-1.2942429222175071,Low Demand
2019-11-28,3,15,8394,13.058919584613736,5.844431148824509,-3.0417652062692113,3.4387586521269258,-1.816263749785499,Low Demand
2019-11-28,3,17,7324,13.86636808852067,5.818148024289032,-3.3480826521331393,3.8504826082825976,-2.555660682302379,Low Demand
2019-11-28,3,18,7624,13.98909817966898,5.739927115924429,-3.367263569809937,3.8809906577378124,-2.7890586765546503,Low Demand
2019-11-28,3,19,7670,13.709771873812654,5.951290768333994,-3.2355176268657333,3.0971140099581373,-1.9501497850509029,Low Demand
2019-11-28,3,22,6947,14.083711153351452,5.94577340929392,-3.073189084431569,2.2191890131101384,-0.23839356302185344,Low Demand
2019-11-28,3,23,4708,15.015563115956606,5.731068791990958,-3.3366508137669877,1.8801262543144033,-0.19188990687584803,Low Demand
2019-11-29,4,0,2926,15.819617065866511,5.54594926946082,-3.212722401331955,1.23772538595751,0.07835758477026461,Low Demand
2019-11-29,4,5,1003,21.99993499137829,4.59509804261998,-3.6439303961513976,3.352514502867733,-1.66424234979284,Low Demand
2019-11-29,4,6,2104,18.46104019239867,5.188870786433393,-3.3316320305437372,3.4551162462394536,-0.4832523721242387,Low Demand
2019-11-29,4,8,4514,15.490829324499256,5.723519178024606,-3.055640456162862,3.980495137132989,-2.2271312614358476,Low Demand
2019-11-30,5,1,4179,15.184557952084386,5.830030131951457,-3.0752340926872948,2.129459559630737,-0.29536775013407335,Low Demand
2019-11-30,5,2,3295,15.470390193645292,5.761316441381892,-3.0715262527984817,1.9375752383420457,-0.5694369174982461,Low Demand
2019-12-13,4,20,16130,8.53358736372587,7.357472600143643,1.2611265074530655,-3.295253600421379,2.8583390481210733,Traffic Jam
2019-12-13,4,21,15986,9.213883672813193,7.004781844331576,1.178095996405463,-3.1893811213469134,2.1616156409983556,Traffic Jam
2019-12-24,1,6,2754,17.69190189580736,5.15122235083866,-3.0082866863203823,2.452537639364696,-0.9535728565067424,Low Demand
2019-12-24,1,19,8425,12.381657936918852,6.704842742776489,-3.193181635420016,1.3271637400800649,-0.19436759646119053,Low Demand
2019-12-24,1,20,7633,13.068513266746404,6.142393029779726,-3.2106819413235583,0.8043845499134997,0.07317678652478045,Low Demand
2019-12-25,2,5,703,23.597952172645137,4.349229643703388,-5.319570773523634,5.666414534041383,-2.88145392158208,Low Demand
2019-12-25,2,6,1152,22.06009654904487,4.691243025672072,-4.975051592156942,6.274056649121855,-2.842171166244073,Low Demand
2019-12-25,2,7,1611,20.988621257555653,4.806021671270222,-4.422020938593088,6.246750584594982,-3.493887480600009,Low Demand
2019-12-25,2,8,2066,18.986825943208057,5.2375218922612055,-4.914388623291352,6.3718099195360525,-3.698595261765849,Low Demand
2019-12-25,2,9,3010,17.811893184830126,5.254657689065972,-5.446842915503732,6.430556642549057,-3.7471062790888316,Low Demand
2019-12-25,2,10,4311,16.831039018251374,5.439413703806042,-5.3088489128763765,6.221562414284509,-3.1646958105195147,Low Demand
2019-12-25,2,11,5287,15.654164625925231,5.599370620117839,-5.138015262833918,6.112484262200675,-2.9860447408511934,Low Demand
2019-12-25,2,12,6066,15.3561834591844,5.580395664489104,-5.317795727339891,5.971620162358737,-2.8286592242604853,Low Demand
2019-12-25,2,13,6231,14.615339819976274,5.7139820900877565,-5.348962614156379,5.655431621224964,-2.3161531474540427,Low Demand
2019-12-25,2,14,6523,14.191485647616632,5.525370337877396,-4.784168524179305,5.290221220064265,-2.4580465683837693,Low Demand
2019-12-25,2,15,6775,13.648183439609973,5.6979017794145,-4.435526930192619,4.8454273089554905,-2.1794409778724204,Low Demand
2019-12-25,2,16,6375,13.648131151888668,5.6606804093031045,-4.471351190429147,4.348950815439073,-2.601852005267017,Low Demand
2019-12-25,2,17,6215,13.385562988225256,5.780497631364462,-4.548196593449324,4.353356758159183,-2.752220754280701,Low Demand
2019-12-25,2,18,6374,12.72579022473714,6.076639977467801,-4.147248935897271,3.5581597811523835,-2.357708470713303,Low Demand
2019-12-25,2,19,5920,13.509299070210098,5.752643648616628,-4.097179424829359,3.0165967864191963,-2.3315777447059265,Low Demand
2019-12-25,2,20,5886,13.479287586094925,5.805385051372341,-3.6367248271416597,1.930169752530657,-1.1100004443034301,Low Demand
2019-12-25,2,21,5966,14.075996406814692,5.85072260823199,-3.679991031696205,2.1214664865502373,-0.6238690411912249,Low Demand
2019-12-25,2,22,5315,15.162380256154766,5.615836225793435,-3.544213490027321,2.6895210034941197,-0.9597064274808512,Low Demand
2019-12-25,2,23,3627,16.329237912482782,5.2744578546861005,-3.4392272740613588,2.311908052082127,-1.1234227956088467,Low Demand
2019-12-26,3,0,2160,17.552880885942564,5.105505371208078,-3.7566042131943735,2.108655062027509,-0.7870936297191193,Low Demand
2019-12-26,3,1,1236,17.58230795260562,5.266999325227467,-3.4658463198413725,0.7108643423334287,-0.03920999063978359,Low Demand
2019-12-26,3,2,717,18.068330626385137,4.97271400232062,-3.000673235175557,0.8971266782287748,-0.9663364714100929,Low Demand
2019-12-26,3,3,484,18.601933574577732,5.150074966328683,-3.062535385790336,1.1574492038527457,-0.02436721148144752,Low Demand
2019-12-26,3,4,568,21.66981095397638,4.673854909835818,-3.960297220594199,3.1336780630453136,-0.8999421766227553,Low Demand
2019-12-26,3,5,1021,21.530082654138766,4.560186867289557,-3.675505227481851,2.700461394314216,-2.039620616994365,Low Demand
2019-12-26,3,6,2306,18.13687345368568,4.947839173618078,-3.180543538637514,2.4474839147002942,-1.7238965767827044,Low Demand
2019-12-26,3,7,3435,16.294299410230074,5.263404713145976,-3.015692122133544,2.794108195563268,-2.312995892849022,Low Demand
2019-12-26,3,8,4620,14.536502504310883,5.657041226474113,-3.1269932810839234,2.8998349414209907,-2.537723606395279,Low Demand
2019-12-26,3,20,7676,13.351609819404452,5.723933900540485,-3.048794339367815,2.079132657820093,-1.4483608628252624,Low Demand
2019-12-26,3,21,7652,13.961678955140536,5.6894651545739565,-3.0402528285988066,2.5198300912884397,-1.341823929630034,Low Demand
2019-12-26,3,22,7046,14.0336857063728,5.813929906653158,-3.0315415406296835,2.150608513949113,-0.6481949594406028,Low Demand
2019-12-26,3,23,5202,15.672982984923392,5.322788861093636,-3.086627809869718,2.72348364534814,-1.4572823115870628,Low Demand
2019-12-31,1,6,2637,17.540827997309627,5.008837951824178,-3.125402888139009,2.3099980799754976,-1.4362852363218752,Low Demand
